0		2
1		1
2		1
3		2
4		2
5		298
6		280
7		679
8		309
9		42
10		7
11		14
12		23
13		4
14		7
15		1
16		1
17		1
18		11
19		1
20		1
21		1
22		73
23		184
24		4
25		1
26		22
27		5
28		40
29		19
30		108
31		262
32		72
33		132
34		4
35		17
36		36
37		5
38		23
39		4
40		3
41		4
42		20
43		277
44		184
45		16
46		7
47		2
48		1
49		1
50		2
51		1
52		2
53		3
54		1
55		1
56		1
57		1
58		54
59		169
60		51
61		1
62		213
63		370
64		554
65		77
66		1
67		1
68		3
69		3
70		58
71		282
72		187
73		1
74		4
75		1
76		9
77		3
78		2
79		14
80		24
81		11
82		134
83		1
84		1
86		12
87		1
88		21
89		1
90		2
91		1
92		1
93		1
94		2
95		1
96		1
97		1
98		4
99		3
100		1
101		11
102		2
103		1
104		1
105		1
106		2
107		1
108		1
109		1
110		48
111		34
112		132
114		5
115		3
116		8
117		8
118		3
119		2
120		3
121		19
122		26
123		29
124		27
125		3
126		15
127		1
128		1
129		1
130		1
131		4
132		13
133		50
134		1
135		1
136		1
137		6
139		17
140		18
141		21
143		16
144		4
145		15
146		54
147		94
148		75
149		8
150		48
151		13
152		21
153		2
154		4
155		6
156		1
157		1
158		17
159		46
160		515
161		65
162		1
163		1
164		6
165		3
166		9
167		2
168		1
169		2
170		18
171		182
172		2
173		25
174		1
175		2
176		1
177		1
178		1
179		2
180		1
181		1
183		2
184		1
185		1
186		9
187		6
188		3
189		1
191		4
192		1
193		1
194		10
195		48
196		3
197		39
198		6
199		12
200		3
201		47
202		19
203		6
204		1
205		15
206		4
207		16
208		31
209		11
210		1
212		3
213		2
214		2
215		2
216		2
217		1
218		1
219		18
220		7
221		1
222		6
223		1
224		2
225		1
226		58
227		27
228		94
229		1
230		1
231		1
232		2
233		21
234		65
235		101
236		76
237		1
239		1
240		2
241		64
242		413
243		174
244		2
245		1
246		1
247		1
248		2
249		20
251		1
252		1
253		1
255		2
256		1
258		1
259		1
260		3
261		15
262		19
263		13
264		4
265		14
266		8
267		8
268		1
270		3
271		2
272		3
273		1
274		1
275		23
276		1
277		1
278		3
279		1
280		1
281		1
282		1
283		17
284		1
285		1
286		19
287		2
288		1
289		1
290		1
291		2
292		1
293		152
294		244
295		1
297		1
298		1
299		2
301		4
302		9
304		51
305		228
306		67
307		21
308		40
309		8
310		64
311		2
312		6
313		8
314		10
315		9
316		1
317		2
318		5
319		2
320		1
321		1
322		2
323		1
324		1
325		3
326		2
327		1
328		5
329		19
330		35
331		6
332		11
333		19
334		5
335		5
336		21
337		9
338		33
339		17
340		123
341		142
342		13
343		6
344		4
345		1
346		19
347		36
348		27
349		210
350		200
351		183
352		2
353		3
354		2
355		12
356		203
357		112
358		10
359		1
